sector,unitTypeStd,Count of Facilities,Count of Units,designCapacity,energyMJ,Throughput in Metric Tons
ag,boiler,36395,327,1296.6715886415625,5155976.508180628,257312.56768495552
ag,dryer,36395,77,226.77839396599998,0.0,0.0
ag,engine,36395,79,43.31196041573172,714687.9869584611,25732.497000000014
ag,flare,36395,2,,0.0,0.0
ag,furnace,36395,4,33.64463828163001,562355378.3883934,0.0
ag,heater,36395,135,445.1020769089773,30725086.38812459,124.90893539426524
ag,incinerator,36395,18,0.4952901083,0.0,0.0
ag,kiln,36395,3,,0.0,0.0
ag,other,36395,1,,0.0,0.0
ag,other combustion,36395,19,112.94732579999999,2098576102.3626058,3628.0
ag,turbine,36395,3,,0.0,0.0036951180000000003
cons,boiler,102263,1068,33719.87020051812,80153752807.59615,449298.5649308452
cons,compressor,102263,2,16.71879307152,703102029.2610283,0.0
cons,distillation,102263,40,451.1887736864,0.0,0.0
cons,dryer,102263,534,2194.4692641993606,6453247949.400885,13357604.29590877
cons,engine,102263,6221,8275.245733168133,8618353736.92566,17.374377669194573
cons,flare,102263,845,10995.132251155042,18745525.917660523,3.237218085106383
cons,furnace,102263,116,2018.4787452166,22282102819.196762,0.0
cons,generator,102263,69,3.1654800000000005,6058167367.10686,0.0
cons,heater,102263,1801,6117.285180676518,35275170034.42111,169629.93076923076
cons,incinerator,102263,72,63.05446742,879179219.7542878,391.792656587473
cons,kiln,102263,195,1928.3544339322,21468754958.78646,9145045.816242928
cons,other,102263,4,2.9307106999999997,0.0,0.0
cons,other combustion,102263,603,6464.651545820975,278906795713.9958,621510.943637941
cons,thermal oxidizer,102263,11,204.61311000000003,584743851.1954882,0.0
cons,turbine,102263,538,6745.707368185186,31531362541.376865,0.0
mfg,boiler,276859,19751,22597648.75548904,1531617045077.693,17876130.844640825
mfg,building heat,276859,7,40.99296600000001,61754855.46085906,0.0
mfg,compressor,276859,9,7.6620200127,129251486.60004598,0.0
mfg,distillation,276859,246,1.025748745,0.0,0.0
mfg,dryer,276859,5426,106102.36923172939,64087371310.176254,57997802.70692201
mfg,engine,276859,4504,5935.993978963364,11666403165.03944,2644088.682179317
mfg,flare,276859,623,57489.35122773466,561143073.2862478,2373.9345453061496
mfg,furnace,276859,4775,55198.50347015265,1483326394485.6555,8204041.065185944
mfg,generator,276859,62,62.71636560000001,318056979335.7087,0.0
mfg,heater,276859,6787,227144.9622772021,720160919228.3079,3732185.0976164117
mfg,incinerator,276859,1359,2124.1862212815513,7492769458.785044,664839.4551826146
mfg,kiln,276859,1846,16005.849909190485,121638019970.7683,15135471.053503886
mfg,other,276859,762,44766.9488356519,0.0,4.436813579078456
mfg,other combustion,276859,6534,114168.74212012503,2645715184628.9536,2841635.3691776907
mfg,oven,276859,230,1533.6219273585,14336720566.25298,337665.2360652426
mfg,pump,276859,12,56.29258727820001,148943134.8521436,0.0
mfg,stove,276859,8,790.1976000000001,18904236860.66947,0.0
mfg,thermal oxidizer,276859,132,1677.6179354999997,18022579305.311447,0.0
mfg,turbine,276859,454,35198.35582199377,398485962298.17957,0.000717586258699957
mining,boiler,64586,108,1073.844269669748,5697654631.015479,408571.4882352942
mining,dryer,64586,61,274.75412812499997,0.0,1678849.086220053
mining,engine,64586,114,36.300693495358594,0.0,3.7762038
mining,flare,64586,14,,0.0,0.0
mining,furnace,64586,10,93.60250369194999,9384448654.386675,0.0
mining,generator,64586,7,0.0,85207016.54680054,0.0
mining,heater,64586,55,6.0724325704000055,0.0,201079.23235294118
mining,incinerator,64586,8,,0.0,7532.635
mining,kiln,64586,25,126.0205601,0.0,262485.9992080349
mining,other,64586,12,0.087921321,0.0,0.0
mining,other combustion,64586,47,788.280284935,20546607521.590855,373009.75015384617
mining,turbine,64586,5,9.996654197699998,0.0,0.0
