designCapacity,designCapacityUOM,eisProcessID,eisUnitID,energyMJ,energyMJq0,energyMJq2,energyMJq3,fuelType,processDescription,registryID,throughputTonneQ0,throughputTonneQ2,throughputTonneQ3,unitDescription,unitName,unitType,unitTypeStd,legislativeDistrictNumber,hucCode8,siteTypeName,name,locationAddress,postalCode,cityName,countyName,stateCode,countyFIPS,sensitiveInd,smallBusInd,envJusticeCode,eisFacilityID,eisFacilityIDAdditional,ghgrpID,ghgrpIDAdditional,epaRegionCode,locationDescription,latitude,longitude,naicsCode,naicsCodeAdditional,"('weeklyOpHoursLow', 'q1')","('weeklyOpHoursLow', 'q2')","('weeklyOpHoursLow', 'q3')","('weeklyOpHoursLow', 'q4')","('weeklyOpHours', 'q1')","('weeklyOpHours', 'q2')","('weeklyOpHours', 'q3')","('weeklyOpHours', 'q4')","('weeklyOpHoursHigh', 'q1')","('weeklyOpHoursHigh', 'q2')","('weeklyOpHoursHigh', 'q3')","('weeklyOpHoursHigh', 'q4')",censusBlock
586142.14,MW,150245814.0,105961213.0,,,,,,,110024888898.0,,,,one (1) rigid polyurethane foam container manufacturing process.,,Molded Foam: Expansion Process Using Steam,other,2401,,STATIONARY,LIFOAM IND,121 BATA BLVD,21017.0,BELCAMP,HARFORD COUNTY,MD,24025,False,,,14530611.0,,,,3.0,,39.46865,-76.23527,326140.0,"[326150, 326140, 326140, 326140, 32614, 326140]",87.688,90.396,86.572,91.064,101.8,104.9,99.9,104.0,87.688,90.396,86.572,91.064,240253017072011
163826.72813,MW,58969614.0,46891513.0,,95872371.42857143,736052400.0,1056142414.2857143,naturalGas,sn:54 galvanizing line,110000452180.0,,,,sn:54 galvanizing line,,Process Heater,heater,0501,,STATIONARY,NUCOR STL AR,7301 E COUNTY ROAD 142,72315.0,BLYTHEVILLE,MISSISSIPPI COUNTY,AR,05093,False,,,1084511.0,,1007921.0,,6.0,,35.941,-89.727,331221.0,"[331111, 331111, 331111]",50.803997,48.036003,51.016,45.412,90.2,93.9,110.6,90.1,50.803997,48.036003,168.0,45.412,050930107004005
73267.7675,MW,102982814.0,79715313.0,,380396.82857142854,380396.82857142854,380396.82857142854,naturalGas,natural gas,110000423756.0,,,,die heater burner 2-3 - process heater,,Boiler,boiler,2701,,STATIONARY,FED MOGUL POWERTRAIN SYS,520 N 8TH ST,55041.0,LAKE CITY,WABASHA COUNTY,MN,27157,,,,6304311.0,,,,5.0,,44.44676,-92.27766,331524.0,"[336312, 336312, 331511, 331511, 331511, 336312, 331524, 331524, 331511, 331511]",48.232,47.484,50.576004,51.876,64.5,61.4,78.8,75.2,48.232,47.484,50.576004,51.876,271574903004012
73267.7675,MW,27299014.0,16034313.0,,380396.82857142854,380396.82857142854,380396.82857142854,naturalGas,natural gas,110000423756.0,,,,die heater burner 1-2 - process heater,,Boiler,boiler,2701,,STATIONARY,FED MOGUL POWERTRAIN SYS,520 N 8TH ST,55041.0,LAKE CITY,WABASHA COUNTY,MN,27157,,,,6304311.0,,,,5.0,,44.44676,-92.27766,331524.0,"[336312, 336312, 331511, 331511, 331511, 336312, 331524, 331524, 331511, 331511]",48.232,47.484,50.576004,51.876,64.5,61.4,78.8,75.2,48.232,47.484,50.576004,51.876,271574903004012
73267.7675,MW,27297914.0,16035213.0,,380396.82857142854,380396.82857142854,380396.82857142854,naturalGas,natural gas,110000423756.0,,,,die heater burner 1-3 - process heater,,Boiler,boiler,2701,,STATIONARY,FED MOGUL POWERTRAIN SYS,520 N 8TH ST,55041.0,LAKE CITY,WABASHA COUNTY,MN,27157,,,,6304311.0,,,,5.0,,44.44676,-92.27766,331524.0,"[336312, 336312, 331511, 331511, 331511, 336312, 331524, 331524, 331511, 331511]",48.232,47.484,50.576004,51.876,64.5,61.4,78.8,75.2,48.232,47.484,50.576004,51.876,271574903004012
73267.7675,MW,27297814.0,16035313.0,,380396.82857142854,380396.82857142854,380396.82857142854,naturalGas,natural gas,110000423756.0,,,,die heater burner 1-1 - process heater,,Boiler,boiler,2701,,STATIONARY,FED MOGUL POWERTRAIN SYS,520 N 8TH ST,55041.0,LAKE CITY,WABASHA COUNTY,MN,27157,,,,6304311.0,,,,5.0,,44.44676,-92.27766,331524.0,"[336312, 336312, 331511, 331511, 331511, 336312, 331524, 331524, 331511, 331511]",48.232,47.484,50.576004,51.876,64.5,61.4,78.8,75.2,48.232,47.484,50.576004,51.876,271574903004012
73267.7675,MW,27298314.0,16035013.0,,380396.82857142854,380396.82857142854,380396.82857142854,naturalGas,natural gas,110000423756.0,,,,die heater burner 1-4 - process heater,,Boiler,boiler,2701,,STATIONARY,FED MOGUL POWERTRAIN SYS,520 N 8TH ST,55041.0,LAKE CITY,WABASHA COUNTY,MN,27157,,,,6304311.0,,,,5.0,,44.44676,-92.27766,331524.0,"[336312, 336312, 331511, 331511, 331511, 336312, 331524, 331524, 331511, 331511]",48.232,47.484,50.576004,51.876,64.5,61.4,78.8,75.2,48.232,47.484,50.576004,51.876,271574903004012
73267.7675,MW,102982714.0,79715213.0,,380396.82857142854,380396.82857142854,380396.82857142854,naturalGas,natural gas,110000423756.0,,,,die heater burner 2-2 - process heater,,Boiler,boiler,2701,,STATIONARY,FED MOGUL POWERTRAIN SYS,520 N 8TH ST,55041.0,LAKE CITY,WABASHA COUNTY,MN,27157,,,,6304311.0,,,,5.0,,44.44676,-92.27766,331524.0,"[336312, 336312, 331511, 331511, 331511, 336312, 331524, 331524, 331511, 331511]",48.232,47.484,50.576004,51.876,64.5,61.4,78.8,75.2,48.232,47.484,50.576004,51.876,271574903004012
73267.7675,MW,102982614.0,79715113.0,,380396.82857142854,380396.82857142854,380396.82857142854,naturalGas,natural gas,110000423756.0,,,,die heater burner 2-1 - process heater,,Boiler,boiler,2701,,STATIONARY,FED MOGUL POWERTRAIN SYS,520 N 8TH ST,55041.0,LAKE CITY,WABASHA COUNTY,MN,27157,,,,6304311.0,,,,5.0,,44.44676,-92.27766,331524.0,"[336312, 336312, 331511, 331511, 331511, 336312, 331524, 331524, 331511, 331511]",48.232,47.484,50.576004,51.876,64.5,61.4,78.8,75.2,48.232,47.484,50.576004,51.876,271574903004012
52752.7926,MW,46383514.0,48246313.0,,,,,biomass,burning wood waste,110000361304.0,,,,wood fired boiler,,Boiler,boiler,1303,,STATIONARY,GA PACIFIC,18,30241.0,LAGRANGE,TROUP COUNTY,GA,13199,False,,,553411.0,,,,4.0,,32.916131,-84.780693,321212.0,"[321114, 321212, 321211, 321212, 321212, 321212, 321212]",45.176,47.772003,45.823997,45.811996,63.6,70.9,66.6,66.0,45.176,47.772003,45.823997,45.811996,131999706003044
