,SCC,last_edited_date,activity_value_required?,code_description,data_category,date_created,ert_valid,history,last_inventory_year,last_updated_date,map_to,option_group,option_set,scc_level_one,scc_level_two,scc_level_three,scc_level_four,sector,short_name,status,tier_1_code,tier_1_description,tier_2_code,tier_2_description,tier_3_code,tier_3_description,usage_notes,Unnamed:_27,unit_type,fuel_type
1776,2309010000,"Jan 16, 2018 1:10:30 AM",No,,Nonpoint,,No,Retired to consolidate to other not elsewhere classified (NEC),2016.0,3/14/2012,2309000000,,,Industrial Processes,Fabricated Metals: SIC 34,Precious Metals Recovery,Reclamation Furnace,Industrial Processes - NEC,,Retired,7,Other Industrial Processes,6,Machinery Products,99,Other,,,,
1800,2310002301,"Jul 29, 2021 8:57:30 PM",No,,Nonpoint,4/14/2009,No,,,3/14/2012,,,,Industrial Processes,Oil and Gas Exploration and Production,Off-Shore Oil And Gas Production,Flares: Continuous Pilot Light,Industrial Processes - Oil & Gas Production,"Oil & Gas: Flares: Continuous Pilot, Off-Shore",Active,6,Petroleum & Related Industries,1,Oil & Gas Production,99,Other,,,,
1801,2310002305,"Jul 29, 2021 8:57:31 PM",No,,Nonpoint,4/14/2009,No,,,3/14/2012,,,,Industrial Processes,Oil and Gas Exploration and Production,Off-Shore Oil And Gas Production,Flares: Flaring Operations,Industrial Processes - Oil & Gas Production,"Oil & Gas: Flares: Flaring Operations, Off-Shore",Active,6,Petroleum & Related Industries,1,Oil & Gas Production,99,Other,,,,
1806,2310010100,"Jul 29, 2021 8:57:31 PM",No,,Nonpoint,4/14/2009,No,,,4/21/2015,,,,Industrial Processes,Oil and Gas Exploration and Production,Crude Petroleum,Oil Well Heaters,Industrial Processes - Oil & Gas Production,Oil & Gas: Crude Petroleum; Oil Well Heaters,Active,6,Petroleum & Related Industries,1,Oil & Gas Production,99,Other,O&G Production Tool,,,
1814,2310011100,"Jul 29, 2021 8:57:31 PM",No,,Nonpoint,4/14/2009,No,,,3/14/2012,,,,Industrial Processes,Oil and Gas Exploration and Production,On-Shore Oil Production,Heater Treater,Industrial Processes - Oil & Gas Production,"Oil & Gas: Heater Treater, On-Shore",Active,6,Petroleum & Related Industries,1,Oil & Gas Production,99,Other,,,,
1845,2310021100,"Jul 29, 2021 8:57:31 PM",No,,Nonpoint,4/14/2009,No,,,4/21/2015,,Gas Well Heaters,B,Industrial Processes,Oil and Gas Exploration and Production,On-Shore Gas Production,Gas Well Heaters,Industrial Processes - Oil & Gas Production,Oil & Gas: On-Shore Gas Prod; Gas Well Heaters,Active,6,Petroleum & Related Industries,1,Oil & Gas Production,99,Other,O&G Production Tool,,,
1892,2310022090,"Aug 4, 2021 3:10:14 PM",No,,Nonpoint,4/14/2009,No,,,8/4/2021,,,,Industrial Processes,Oil and Gas Exploration and Production,Off-Shore Gas Production,Boilers/Heaters: Natural Gas,Industrial Processes - Oil & Gas Production,"O&G: Boilers/Heaters: Natural Gas, Off-Shore",Active,6,Petroleum & Related Industries,1,Oil & Gas Production,1,Natural Gas,,,,
1918,2310023100,"Oct 21, 2019 11:34:16 PM",No,,Nonpoint,,No,,,4/21/2015,,,,Industrial Processes,Oil and Gas Exploration and Production,Coal Bed Methane Natural Gas,CBM Well Heaters,Industrial Processes - Oil & Gas Production,Oil & Gas: CBM Well Heater,Active,6,Petroleum & Related Industries,1,Oil & Gas Production,1,Natural Gas,O&G Production Tool,,,
1986,2310321100,"Oct 21, 2019 11:34:17 PM",No,,Nonpoint,,No,,,9/17/2015,,Gas Well Heaters,A,Industrial Processes,Oil and Gas Exploration and Production,On-Shore Gas Production - Conventional,Gas Well Heaters,Industrial Processes - Oil & Gas Production,Oil & Gas: Well Heaters Conventional,Active,6,Petroleum & Related Industries,1,Oil & Gas Production,99,Other,,,,
1991,2310421100,"Oct 21, 2019 11:34:17 PM",No,,Nonpoint,,No,,,9/17/2015,,Gas Well Heaters,A,Industrial Processes,Oil and Gas Exploration and Production,On-Shore Gas Production - Unconventional,Gas Well Heaters,Industrial Processes - Oil & Gas Production,Oil & Gas: Well Heaters Unconventional,Active,6,Petroleum & Related Industries,1,Oil & Gas Production,99,Other,,,,
2065,30100108,"Oct 29, 2020 10:26:36 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Adipic Acid,Dryer,Industrial Processes - Chemical Manuf,ChemManf AdipicAcid Dryr,Active,4,Chemical & Allied Product Mfg,1,Organic Chemical Mfg,99,Other,,,,
2079,30100503,"Oct 29, 2020 10:26:36 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Carbon Black Production,Gas Furnace Process: Main Process Vent,Industrial Processes - Chemical Manuf,ChemManf CarbonBlackProd GasFurnProcMainProcVent,Active,4,Chemical & Allied Product Mfg,7,Other Chemical Mfg,1,Carbon Black Mfg,,,,
2080,30100504,"Oct 29, 2020 10:26:36 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Carbon Black Production,Oil Furnace Process: Main Process Vent,Industrial Processes - Chemical Manuf,ChemManf CarbonBlackProd OilFurnProcMainProcVent,Active,4,Chemical & Allied Product Mfg,7,Other Chemical Mfg,1,Carbon Black Mfg,,,,
2082,30100507,"Oct 29, 2020 10:26:36 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Carbon Black Production,Pellet Dryer,Industrial Processes - Chemical Manuf,ChemManf CarbonBlackProd PelletDryr,Active,4,Chemical & Allied Product Mfg,7,Other Chemical Mfg,1,Carbon Black Mfg,,,,
2084,30100509,"Oct 29, 2020 10:26:36 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Carbon Black Production,Furnace Process: Fugitive Emissions,Industrial Processes - Chemical Manuf,ChemManf CarbonBlackProd FurnProcFugitv,Active,4,Chemical & Allied Product Mfg,7,Other Chemical Mfg,1,Carbon Black Mfg,,,,
2085,30100510,"Oct 29, 2020 10:26:36 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Carbon Black Production,Main Process Vent with CO Boiler and Incinerator,Industrial Processes - Chemical Manuf,ChemManf CarbonBlackProd SeeSCCLev4,Active,4,Chemical & Allied Product Mfg,7,Other Chemical Mfg,1,Carbon Black Mfg,,,,
2088,30100603,"Oct 29, 2020 10:26:36 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Charcoal Manufacturing,Batch Kiln,Industrial Processes - Chemical Manuf,ChemManf CharcoalManf BatchKiln,Active,4,Chemical & Allied Product Mfg,1,Organic Chemical Mfg,5,Charcoal Mfg,,,,
2089,30100604,"Oct 29, 2020 10:26:36 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Charcoal Manufacturing,Continuous Kiln,Industrial Processes - Chemical Manuf,ChemManf CharcoalManf ContKiln,Active,4,Chemical & Allied Product Mfg,1,Organic Chemical Mfg,5,Charcoal Mfg,,,,
2096,30100702,"Oct 29, 2020 10:26:36 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Chlorine,Carbon Reactivation/Impregnation Kiln,Industrial Processes - Chemical Manuf,ChemManf Chlorine SeeSCCLev4,Active,4,Chemical & Allied Product Mfg,7,Other Chemical Mfg,99,Other,,,,
2097,30100704,"Oct 29, 2020 10:26:36 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Chlorine,Carbon Reactivation/Heating Ovens,Industrial Processes - Chemical Manuf,ChemManf Chlorine CarbonReactivation/HeatingOvens,Active,4,Chemical & Allied Product Mfg,7,Other Chemical Mfg,99,Other,,,,
2100,30100707,"Oct 29, 2020 10:26:36 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Chlorine,Carbon Reactivation/Multiple Hearth Furnace,Industrial Processes - Chemical Manuf,ChemManf Chlorine SeeSCCLev4,Active,4,Chemical & Allied Product Mfg,7,Other Chemical Mfg,99,Other,,,,
2101,30100708,"Oct 29, 2020 10:26:36 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Chlorine,Carbon Reactivation/Indirect Furnace,Industrial Processes - Chemical Manuf,ChemManf Chlorine CarbonReactivation/IndirectFurn,Active,4,Chemical & Allied Product Mfg,7,Other Chemical Mfg,99,Other,,,,
2125,30101015,"Oct 29, 2020 10:26:37 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Explosives (Trinitrotoluene),Batch Process: Red Water Incinerator,Industrial Processes - Chemical Manuf,ChemManf ExplosivesTrinitrotoluene SeeSCCLev4,Active,10,Waste Disposal & Recycling,1,Incineration,3,Industrial,,,,
2128,30101023,"Oct 29, 2020 10:26:37 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Explosives (Trinitrotoluene),Continuous Process: Red Water Incinerator (Use 3-01-010-53),Industrial Processes - Chemical Manuf,ChemManf ExplosivesTrinitrotoluene SeeSCCLev4,Active,10,Waste Disposal & Recycling,1,Incineration,3,Industrial,,,,
2134,30101033,"Oct 29, 2020 10:26:37 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Explosives (Trinitrotoluene),Batch Process: Nitric Acid Concentration: Distillation Tower,Industrial Processes - Chemical Manuf,ChemManf ExplosivesTrinitrotoluene SeeSCCLev4,Active,4,Chemical & Allied Product Mfg,7,Other Chemical Mfg,99,Other,,,,
2141,30101046,"Oct 29, 2020 10:26:37 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Explosives (Trinitrotoluene),Batch Process: Finishing: Dryers,Industrial Processes - Chemical Manuf,ChemManf ExplosivesTrinitrotoluene SeeSCCLev4,Active,4,Chemical & Allied Product Mfg,7,Other Chemical Mfg,99,Other,,,,
2153,30101073,"Oct 29, 2020 10:26:37 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Explosives (Trinitrotoluene),Continuous Process: Nitric Acid Concentration: Distillation Tower,Industrial Processes - Chemical Manuf,ChemManf ExplosivesTrinitrotoluene SeeSCCLev4,Active,4,Chemical & Allied Product Mfg,7,Other Chemical Mfg,99,Other,,,,
2160,30101086,"Oct 29, 2020 10:26:37 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Explosives (Trinitrotoluene),Continuous Process: Finishing: Dryers,Industrial Processes - Chemical Manuf,ChemManf ExplosivesTrinitrotoluene SeeSCCLev4,Active,4,Chemical & Allied Product Mfg,7,Other Chemical Mfg,99,Other,,,,
2166,30101202,"Dec 16, 2021 11:16:37 AM",No,,Point,,Yes,,,12/15/2021,,,,Industrial Processes,Chemical Manufacturing,Hydrofluoric Acid,Rotary Kiln: Acid Reactor,Industrial Processes - Chemical Manuf,ChemManf HydrofluoricAcid RotKilnAcidReactr,Active,4,Chemical & Allied Product Mfg,2,Inorganic Chemical Mfg,99,Other,,,,
2171,30101207,"Dec 16, 2021 11:20:20 AM",No,,Point,,Yes,,,12/15/2021,,,,Industrial Processes,Chemical Manufacturing,Hydrofluoric Acid,Fluorspar Drying Kiln: Fuel Combustion,Industrial Processes - Chemical Manuf,ChemManf HydrofluoricAcid SeeSCCLev4,Active,2,Fuel Comb. Industrial,4,Other,99,Other,,,,
2172,30101208,"Dec 16, 2021 11:21:21 AM",No,,Point,,Yes,,,12/15/2021,,,,Industrial Processes,Chemical Manufacturing,Hydrofluoric Acid,Rotary Kiln: Fuel Combustion,Industrial Processes - Chemical Manuf,ChemManf HydrofluoricAcid RotKilnFuelComb,Active,2,Fuel Comb. Industrial,4,Other,99,Other,,,,
2174,30101210,"Dec 16, 2021 11:30:30 AM",No,,Point,,Yes,,,12/15/2021,,,,Industrial Processes,Chemical Manufacturing,Hydrofluoric Acid,Distillation Unit,Industrial Processes - Chemical Manuf,ChemManf HydrofluoricAcid DistillatnUnit,Active,4,Chemical & Allied Product Mfg,4,Agricultural Chemical Mfg,99,Other,,,,
2239,30101605,"Oct 29, 2020 10:26:38 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Phosphoric Acid,Wet Process: Calciner,Industrial Processes - Chemical Manuf,ChemManf PhosphoricAcid WetProcCalciner,Active,4,Chemical & Allied Product Mfg,4,Agricultural Chemical Mfg,99,Other,,,,
2240,30101606,"Oct 29, 2020 10:26:38 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Phosphoric Acid,Wet Process: Dryer,Industrial Processes - Chemical Manuf,ChemManf PhosphoricAcid WetProcDryr,Active,4,Chemical & Allied Product Mfg,4,Agricultural Chemical Mfg,99,Other,,,,
2241,30101607,"Oct 29, 2020 10:26:38 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Phosphoric Acid,Wet Process: Evaporator,Industrial Processes - Chemical Manuf,ChemManf PhosphoricAcid WetProcEvap,Active,4,Chemical & Allied Product Mfg,4,Agricultural Chemical Mfg,99,Other,,,,
2246,30101623,"Oct 29, 2020 10:26:38 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Phosphoric Acid,Superphosphoric Acid Process: Evaporator,Industrial Processes - Chemical Manuf,ChemManf PhosphoricAcid SeeSCCLev4,Active,4,Chemical & Allied Product Mfg,4,Agricultural Chemical Mfg,99,Other,,,,
2312,30101904,"Oct 29, 2020 10:26:39 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Phthalic Anhydride,o-Xylene Oxidation: Distillation,Industrial Processes - Chemical Manuf,ChemManf PhthalicAnhydrid o-XyleneOxidatnDistil,Active,4,Chemical & Allied Product Mfg,1,Organic Chemical Mfg,7,Socmi Distillation,,,,
