,SCC,last_edited_date,activity_value_required?,code_description,data_category,date_created,ert_valid,history,last_inventory_year,last_updated_date,map_to,option_group,option_set,scc_level_one,scc_level_two,scc_level_three,scc_level_four,sector,short_name,status,tier_1_code,tier_1_description,tier_2_code,tier_2_description,tier_3_code,tier_3_description,usage_notes,Unnamed:_27,unit_type,fuel_type
2315,30101907,"Oct 29, 2020 10:26:39 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Phthalic Anhydride,Naphthalene Oxidation: Distillation,Industrial Processes - Chemical Manuf,ChemManf PhthalicAnhydrid NaphthaleneOxidatnDistil,Active,4,Chemical & Allied Product Mfg,1,Organic Chemical Mfg,7,Socmi Distillation,,,,
2316,30101908,"Oct 29, 2020 10:26:39 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Phthalic Anhydride,Dryer,Industrial Processes - Chemical Manuf,ChemManf PhthalicAnhydrid Dryr,Active,4,Chemical & Allied Product Mfg,1,Organic Chemical Mfg,99,Other,,,,
2354,30102104,"Oct 29, 2020 10:26:39 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Sodium Carbonate,Monohydrate Process: Rotary Ore Calciner: Gas-fired,Industrial Processes - Chemical Manuf,ChemManf SodiumCarbonate SeeSCCLev4,Active,4,Chemical & Allied Product Mfg,2,Inorganic Chemical Mfg,99,Other,,,,
2355,30102105,"Oct 29, 2020 10:26:39 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Sodium Carbonate,Monohydrate Process: Rotary Ore Calciner: Coal-fired,Industrial Processes - Chemical Manuf,ChemManf SodiumCarbonate SeeSCCLev4,Active,4,Chemical & Allied Product Mfg,2,Inorganic Chemical Mfg,99,Other,,,,
2356,30102106,"Oct 29, 2020 10:26:39 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Sodium Carbonate,Rotary Soda Ash Dryers,Industrial Processes - Chemical Manuf,ChemManf SodiumCarbonate RotSodaAshDryrs,Active,4,Chemical & Allied Product Mfg,2,Inorganic Chemical Mfg,99,Other,,,,
2357,30102107,"Oct 29, 2020 10:26:39 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Sodium Carbonate,Fluid-bed Soda Ash Dryers/Coolers,Industrial Processes - Chemical Manuf,ChemManf SodiumCarbonate SeeSCCLev4,Active,4,Chemical & Allied Product Mfg,2,Inorganic Chemical Mfg,99,Other,,,,
2360,30102111,"Oct 29, 2020 10:26:39 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Sodium Carbonate,Trona Dryer,Industrial Processes - Chemical Manuf,ChemManf SodiumCarbonate TronaDryr,Active,4,Chemical & Allied Product Mfg,2,Inorganic Chemical Mfg,99,Other,,,,
2361,30102112,"Oct 29, 2020 10:26:39 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Sodium Carbonate,Rotary Pre-dryer,Industrial Processes - Chemical Manuf,ChemManf SodiumCarbonate RotPre-dryer,Active,4,Chemical & Allied Product Mfg,2,Inorganic Chemical Mfg,99,Other,,,,
2363,30102114,"Oct 29, 2020 10:26:39 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Sodium Carbonate,Rotary Dryer: Steam Tube,Industrial Processes - Chemical Manuf,ChemManf SodiumCarbonate RotDryrSteamTube,Active,4,Chemical & Allied Product Mfg,2,Inorganic Chemical Mfg,99,Other,,,,
2369,30102125,"Oct 29, 2020 10:26:39 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Sodium Carbonate,Sesquicarbonate Process: Rotary Calciner,Industrial Processes - Chemical Manuf,ChemManf SodiumCarbonate SeeSCCLev4,Active,4,Chemical & Allied Product Mfg,2,Inorganic Chemical Mfg,99,Other,,,,
2370,30102126,"Oct 29, 2020 10:26:39 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Sodium Carbonate,Sesquicarbonate Process: Fluid-bed Calciner,Industrial Processes - Chemical Manuf,ChemManf SodiumCarbonate SeeSCCLev4,Active,4,Chemical & Allied Product Mfg,2,Inorganic Chemical Mfg,99,Other,,,,
2422,30102431,"Oct 29, 2020 10:26:40 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Synthetic Organic Fiber,Heat Treating Furnace: Carbonization,Industrial Processes - Chemical Manuf,ChemManf SynthOrgncFiber SeeSCCLev4,Active,4,Chemical & Allied Product Mfg,3,Polymer & Resin Mfg,99,Other,,,,
2423,30102432,"Oct 29, 2020 10:26:40 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Synthetic Organic Fiber,Curing Oven: Carbonization,Industrial Processes - Chemical Manuf,ChemManf SynthOrgncFiber CuringOvenCarbonization,Active,4,Chemical & Allied Product Mfg,3,Polymer & Resin Mfg,99,Other,,,,
2443,30102466,"Oct 29, 2020 10:26:40 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Synthetic Organic Fiber,"Spandex, Reaction Spun: Product Dryer",Industrial Processes - Chemical Manuf,ChemManf SynthOrgncFiber SpandxReactnSpunProdDryr,Active,4,Chemical & Allied Product Mfg,3,Polymer & Resin Mfg,4,Synthetic Fiber,,,,
2457,30102609,"Oct 29, 2020 10:26:40 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Synthetic Rubber (Manufacturing Only),Dryers,Industrial Processes - Chemical Manuf,ChemManf SynthRubrManf Dryrs,Active,4,Chemical & Allied Product Mfg,3,Polymer & Resin Mfg,5,Styrene/Butadiene Rubber,,,,
2459,30102611,"Oct 29, 2020 10:26:40 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Synthetic Rubber (Manufacturing Only),Steam Stripper,Industrial Processes - Chemical Manuf,ChemManf SynthRubrManf SteamStripper,Active,4,Chemical & Allied Product Mfg,3,Polymer & Resin Mfg,99,Other,,,,
2501,30102706,"Oct 29, 2020 10:26:41 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Ammonium Nitrate Production,Dryers and Coolers,Industrial Processes - Chemical Manuf,ChemManf AmmoniumNitrate Dryrs&Coolers,Active,4,Chemical & Allied Product Mfg,4,Agricultural Chemical Mfg,99,Other,,,,
2508,30102713,"Oct 29, 2020 10:26:41 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Ammonium Nitrate Production,High Density Dryers and Coolers (scb,Industrial Processes - Chemical Manuf,ChemManf AmmoniumNitrate SeeSCCLev4,Active,4,Chemical & Allied Product Mfg,4,Agricultural Chemical Mfg,99,Other,,,,
2510,30102717,"Oct 29, 2020 10:26:41 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Ammonium Nitrate Production,Evaporator/Concentrator: High Density,Industrial Processes - Chemical Manuf,ChemManf AmmoniumNitrate Evap/ConcHighDensity,Active,4,Chemical & Allied Product Mfg,4,Agricultural Chemical Mfg,99,Other,,,,
2515,30102723,"Oct 29, 2020 10:26:41 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Ammonium Nitrate Production,Low Density Dryers and Coolers (scb,Industrial Processes - Chemical Manuf,ChemManf AmmoniumNitrate SeeSCCLev4,Active,4,Chemical & Allied Product Mfg,4,Agricultural Chemical Mfg,99,Other,,,,
2517,30102725,"Oct 29, 2020 10:26:41 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Ammonium Nitrate Production,Prilling Dryer: Low Density,Industrial Processes - Chemical Manuf,ChemManf AmmoniumNitrate PrillingDryrLowDensity,Active,4,Chemical & Allied Product Mfg,4,Agricultural Chemical Mfg,99,Other,,,,
2518,30102727,"Oct 29, 2020 10:26:41 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Ammonium Nitrate Production,Evaporator/Concentrator: Low Density,Industrial Processes - Chemical Manuf,ChemManf AmmoniumNitrate Evap/ConcLowDensity,Active,4,Chemical & Allied Product Mfg,4,Agricultural Chemical Mfg,99,Other,,,,
2532,30102824,"Oct 29, 2020 10:26:41 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Normal Superphosphates,Dryer,Industrial Processes - Chemical Manuf,ChemManf NormalSuperphosphates Dryr,Active,4,Chemical & Allied Product Mfg,4,Agricultural Chemical Mfg,99,Other,,,,
2538,30102906,"Sep 30, 2017 2:16:37 AM",No,,Point,,No,,2015.0,1/19/2017,30102923,,,Industrial Processes,Chemical Manufacturing,Triple Superphosphate,Granulator: Reactor/Dryer,Industrial Processes - Chemical Manuf,,Retired,4,Chemical & Allied Product Mfg,4,Agricultural Chemical Mfg,99,Other,,,,
2547,30102924,"Oct 29, 2020 10:26:41 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Triple Superphosphate,Dryer,Industrial Processes - Chemical Manuf,ChemManf TripleSuperphosphate Dryr,Active,4,Chemical & Allied Product Mfg,4,Agricultural Chemical Mfg,99,Other,,,,
2551,30103001,"Sep 30, 2017 2:16:37 AM",No,,Point,,No,,2015.0,1/19/2017,30103024,,,Industrial Processes,Chemical Manufacturing,Ammonium Phosphates,Dryers and Coolers,Industrial Processes - Chemical Manuf,,Retired,4,Chemical & Allied Product Mfg,4,Agricultural Chemical Mfg,99,Other,,,,
2560,30103024,"Oct 29, 2020 10:26:41 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Ammonium Phosphates,Dryer,Industrial Processes - Chemical Manuf,ChemManf AmmoniumPhosphates Dryr,Active,4,Chemical & Allied Product Mfg,4,Agricultural Chemical Mfg,99,Other,,,,
2566,30103104,"Oct 29, 2020 10:26:41 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Terephthalic Acid/Dimethyl Terephthalate,Distillation and Recovery Vent,Industrial Processes - Chemical Manuf,ChemManf VariousSeeSCCLev3 Distillatn&RecVent,Active,4,Chemical & Allied Product Mfg,1,Organic Chemical Mfg,7,Socmi Distillation,,,,
2592,30103328,"Oct 29, 2020 10:26:42 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Pesticides,Product Dryer,Industrial Processes - Chemical Manuf,ChemManf Pesticides ProdDryr,Active,4,Chemical & Allied Product Mfg,4,Agricultural Chemical Mfg,99,Other,,,,
2609,30103412,"Oct 29, 2020 10:26:42 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Aniline/Ethanolamines,Vacuum Distillation: Jet Vent,Industrial Processes - Chemical Manuf,ChemManf Aniline/Ethanolamine VacuumDistilJetVent,Active,4,Chemical & Allied Product Mfg,1,Organic Chemical Mfg,7,Socmi Distillation,,,,
2617,30103501,"Oct 29, 2020 10:26:42 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Inorganic Pigments,TiO2 Sulfate Process: Calciner,Industrial Processes - Chemical Manuf,ChemManf InorganicPigments TiO2SulfateProcCalciner,Active,4,Chemical & Allied Product Mfg,2,Inorganic Chemical Mfg,99,Other,,,,
2621,30103507,"Oct 29, 2020 10:26:42 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Inorganic Pigments,Lead Oxide: Calciner,Industrial Processes - Chemical Manuf,ChemManf InorganicPigments LeadOxideCalciner,Active,4,Chemical & Allied Product Mfg,2,Inorganic Chemical Mfg,99,Other,,,,
2626,30103551,"Oct 29, 2020 10:26:42 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Inorganic Pigments,Ore Dryer,Industrial Processes - Chemical Manuf,ChemManf InorganicPigments OreDryr,Active,4,Chemical & Allied Product Mfg,2,Inorganic Chemical Mfg,99,Other,,,,
2628,30103553,"Oct 29, 2020 10:26:42 PM",No,,Point,,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Inorganic Pigments,Pigment Dryer,Industrial Processes - Chemical Manuf,ChemManf InorganicPigments PigmentDryr,Active,4,Chemical & Allied Product Mfg,2,Inorganic Chemical Mfg,99,Other,,,,
2632,30103602,"Jul 29, 2021 8:57:24 PM",No,,Point,11/29/2002,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Chromic Acid Manufacturing,Bichromate Kilns,Industrial Processes - Chemical Manuf,ChemManf ChromicAcidManf BichromateKilns,Active,4,Chemical & Allied Product Mfg,7,Other Chemical Mfg,99,Other,,,,
2633,30103603,"Jul 29, 2021 8:57:24 PM",No,,Point,11/29/2002,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Chromic Acid Manufacturing,Kiln Product Quench Tanks,Industrial Processes - Chemical Manuf,ChemManf ChromicAcidManf KilnProdQuenchTanks,Active,4,Chemical & Allied Product Mfg,7,Other Chemical Mfg,99,Other,,,,
2634,30103604,"Jul 29, 2021 8:57:24 PM",No,,Point,11/29/2002,Yes,,,10/29/2020,,,,Industrial Processes,Chemical Manufacturing,Chromic Acid Manufacturing,Kiln Product Separator Tanks,Industrial Processes - Chemical Manuf,ChemManf ChromicAcidManf KilnProdSeparatorTanks,Active,4,Chemical & Allied Product Mfg,7,Other Chemical Mfg,99,Other,,,,
