registryID,unitTypeStd,fuelType,designCapacity,eisUnitID,energyMJq0,energyMJq2,designCapacity,unitName,energyMJ
110000308435.0,boiler,naturalGas,163.53365706,3.0,712770314.7272727,712770314.7272727,163.25670000000002,3.0,1764694103.8807113
110000308435.0,furnace,naturalGas,0.29482949641999995,2.0,515442.8571428571,515442.8571428571,,,
110000308435.0,heater,naturalGas,,,,,2.3201796000000003,3.0,399672.6872905153
110000308435.0,other combustion,diesel,1.24320747894,4.0,0.0,0.0,0.21689400000000003,1.0,12838.706352547208
110000308435.0,other combustion,naturalGas,2.63763963,1.0,0.0,0.0,,,
110000308435.0,oven,naturalGas,,,,,0.33413400000000004,2.0,628341.1402179245
110000308612.0,boiler,diesel,22.859543459999998,1.0,0.0,0.0,22.861800000000002,1.0,1630.0267046240454
110000308612.0,dryer,diesel,,,,,3.5172000000000003,1.0,156482.56364390833
110000308612.0,other combustion,diesel,6.2541366338,2.0,0.0,0.0,,,
110000308612.0,turbine,diesel,22.507858176,1.0,0.0,0.0,22.510080000000002,1.0,5835495.602554082
110000309648.0,boiler,diesel,27.138381082,2.0,0.0,0.0,27.14106,2.0,21397.84392091201
110000309648.0,boiler,naturalGas,27.138381082,2.0,118438459.7142857,118438459.7142857,28.31346,3.0,71549364.71032144
110000309648.0,heater,naturalGas,,,,,0.8793000000000001,3.0,13374121.864258733
110000309648.0,other combustion,diesel,27.762622461099994,7.0,0.0,0.0,,,
110000309648.0,turbine,diesel,50.642680896,2.0,0.0,0.0,39.011610000000005,2.0,54207.87126631043
110000309648.0,turbine,naturalGas,50.642680896,2.0,4179121.0434782607,4179121.0434782607,39.011610000000005,2.0,824900565.5116658
110000310191.0,boiler,naturalGas,298.9324914,4.0,227121226.1883117,227121226.1883117,300.588705,4.0,1674182219.5462413
110000310191.0,furnace,diesel,0.29307107,1.0,0.0,0.0,,,
110000310191.0,furnace,naturalGas,0.3575467054,2.0,1212321.5999999999,1212321.5999999999,,,
110000310191.0,heater,naturalGas,4.3843432072,2.0,485547.17142857146,629355.7285714287,6.524406,4.0,689858.0118629655
110000310191.0,other combustion,diesel,3.9813704859499994,2.0,0.0,0.0,0.96723,1.0,0.0
110000310191.0,other combustion,naturalGas,9.6947909956,2.0,21702.85714285714,21702.85714285714,0.565683,1.0,169935.69793691818
110000310191.0,turbine,diesel,,,,,79.137,1.0,0.0
110000310431.0,boiler,naturalGas,81.297914818,3.0,734454527.1428571,734454527.1428571,27.170370000000002,1.0,807060449.3406682
110000310431.0,boiler,resFuelOil,,,,,27.170370000000002,1.0,618142.2068458828
110000310431.0,dryer,naturalGas,1.75842642,2.0,42202399.37142858,42208584.68571429,,,
110000310761.0,boiler,diesel,99.05802166,2.0,0.0,0.0,,,
110000310761.0,other combustion,diesel,4.85472227455,5.0,0.0,0.0,,,
110000310761.0,turbine,diesel,22.332015534,1.0,0.0,0.0,53.6373,1.0,9914334.350022566
110000321189.0,heater,other,,,,,74.7405,2.0,166232176.17891374
110000321189.0,other combustion,other,0.0,1.0,212361.29032258067,223280.90223069908,,,
110000324845.0,boiler,biomass,72.97469643,1.0,0.0,0.0,72.98190000000001,1.0,1367466643.590902
110000324845.0,boiler,naturalGas,477.99891517,3.0,1146448002.857143,1146448002.857143,72.98190000000001,1.0,2190596056.9326653
110000324845.0,furnace,biomass,,,,,0.0,1.0,1754725310.524372
110000325041.0,boiler,diesel,91.14510277,1.0,0.0,0.0,24.76695,1.0,92723.99032395205
110000325041.0,boiler,naturalGas,91.14510277,1.0,96390745.74981818,96390745.74981818,24.76695,1.0,340886999.0962029
110000325041.0,engine,diesel,0.0,1.0,0.0,0.0,,,
110000326772.0,boiler,naturalGas,,,,,17.586000000000002,1.0,414538125.15212667
110000326772.0,boiler,other,0.008792132099999999,3.0,7225978287.158385,7225978287.158385,17.586000000000002,1.0,244156030.26168874
110000326772.0,oven,other,,,,,43.965,1.0,575851336.3662483
110000327316.0,boiler,lpgHGL,,,,,17.586000000000002,1.0,124183.50638132473
110000327316.0,boiler,naturalGas,78.24997569,1.0,512698123.9285714,512698123.9285714,17.586000000000002,1.0,569692653.0953685
110000327316.0,other combustion,lpgHGL,0.0,1.0,0.0,0.0,,,
110000327316.0,other combustion,naturalGas,0.0,1.0,0.0,0.0,,,
