Unit Type Code,Unit Type Description,Unit Group,EPA Note
100,Boiler,Fuel Comb. Equipment,
120,Turbine,Fuel Comb. Equipment,
1200,Electric Steel Shell Furnace,Mineral Wool Fiberglass,
1201,Recovery Furnace - Direct Contact Evaporator,PnP unit type,
1202,Recovery Furnace - Nondirect Contact Evaporator,PnP unit type,
1251,Conveyor Stand Dryer,PCWP unit type,
1252,Primary Tube Dryer,PCWP unit type,
1253,Secondary Tube Dryer,PCWP unit type,
1254,Rotary Yeast Dryer,Nutritional Yeast unit type,
140,Combined Cycle (Boiler/Gas Turbine),Fuel Comb. Equipment,
1401,Surge Control Tank,OSWRO,
1402,Storage bin,Mineral Wool Fiberglass,
1403,Pulp Storage,PnP unit type,
1404,Black Liquor Storage,PnP unit type,
1405,White Liquor Storage,PnP unit type,
1406,Bleach Storage,PnP unit type,
1407,Methanol Storage,PnP unit type,
150,Duct Burner,Fuel Comb. Equipment,
160,Reciprocating IC Engine,Fuel Comb. Equipment,
1690,Salt Cake Tank,PnP unit type,
1691,Dregs Washer,PnP unit type,
1692,Lime Mud Washer,PnP unit type,
1693,Slaker,PnP unit type,
1694,Paper Machine,PnP unit type,
1695,Conical Refiner,PnP unit type,
1696,Machine Chest,PnP unit type,
1697,Repulper,PnP unit type,
1698,Mechanical Pulping Refiner (RMP),PnP unit type,
1699,Brown Stock Refiner,PnP unit type,
170,Engine Test Cell,Fuel Comb. Equipment,"includes aircraft engines, rocket engines, etc"
1700,White Stock Refiner,PnP unit type,
1701,Solvent Extraction Unit,OSWRO,
1702,Thin Film Evaporator,OSWRO,
1703,Pressurized Refiner,PCWP unit type,
1731,Chipper/Flaker/Hammermill,PCWP unit type,
1732,Cumminutor/Grinder,POTW unit type,
1733,Raw Material Grinder,Portland Cement,
1734,Clinker Grinder,Portland Cement,
1741,Headworks Screen,POTW unit type,
1742,Chip Screen,PnP unit type,
1743,Pulp Screen,PnP unit type,
1744,Stock Screen,PnP unit type,
1771,Waste Water Junction Box,POTW unit type,
1772,Collector Sewers,POTW unit type,
1773,Waste Water Lift Station,POTW unit type,
1775,Transfer System,OSWRO,
1776,Weigh Hopper,Portland Cement,
180,Process Heater,Fuel Comb. Equipment,
200,Furnace,Fuel Comb. Equipment,
202,Regenerative Furnace,Mineral Wool Fiberglass,
203,Recuperative Furnace,Mineral Wool Fiberglass,
204,Electric Furnace,Mineral Wool Fiberglass,
205,Unit Melter Furnace,Mineral Wool Fiberglass,
206,Air Gas Furnace,Mineral Wool Fiberglass,
207,Oxyfuel Furnace,Mineral Wool Fiberglass,
208,Cold top Furnace,Mineral Wool Fiberglass,
209,Pot/Marble Melt Furnace,Mineral Wool Fiberglass,
210,Kiln,Fuel Comb. Equipment,
211,Lumber Dry Kiln,PCWP unit type,
212,Rotary Kiln,OSWRO,
213,Wet Kiln,Portland Cement,
214,Dry Kiln,Portland Cement,
215,Lime Kiln,PnP unit type,
220,Calciner,Fuel Comb. Equipment,
2251,Hogged Fuel Dryer,PnP unit type,
230,Coke Battery,Fuel Comb. Equipment,
250,Direct-fired Dryer,Fuel Comb. Equipment,
251,Softwood Veneer Dryer,PCWP unit type,
252,Veneer Redryer,PCWP unit type,
253,Hardwood Veneer Dryer,PCWP unit type,
254,Rotary Strand Dryer,PCWP unit type,
255,"Dryer, unknown if direct or indirect.",Fuel Comb. Equipment,
260,Indirect-fired Dryer,Evaporative Sources,
261,Green Rotary Dryer,PCWP unit type,
262,Dry Rotary Dryer,PCWP unit type,
263,Rotary Agricultural Fiber Dryer,PCWP unit type,
264,Hardboard Press Predryer,PCWP unit type,
265,Fiberboard Mat Dryer,PCWP unit type,
270,Incinerator,Fuel Comb. Equipment,includes all types of waste combustors
271,Vapor Incinerator,OSWRO,
280,Flare,Fuel Comb. Equipment,
281,Sludge Digester Gas Flare,POTW unit type,
285,Open Burning,Fuel Comb. Equipment,
290,Other combustion,Fuel Comb. Equipment,"includes space heaters, asphalt kettle heaters, etc."
291,Hardboard Oven,PCWP unit type,
292,Curing Oven,Mineral Wool Fiberglass,
293,Chemical Recovery Combustion Unit,PnP unit type,
300,Open Air Fugitive Source,Fugitive Areas,"Landfills, Runways, Feedlots, Settling Ponds, WWTreatment units, Equipment Leaks, Haul Roads etc."
310,Roof vents/Building vents,Fugitive Areas,
350,Process Equipment Fugitive Leaks,Fugitive Areas,
360,Process Equipment and Process Area Drains,Fugitive Areas,
361,Primary Clarifier,POTW unit type,
362,Diffused Air Activated Sludge Thickener,POTW unit type,
363,Mechanical Mix Air Activated Sludge,POTW unit type,
