Unit Type Code,Unit Type Description,Unit Group,EPA Note
364,Pure Oxygen Activated Sludge,POTW unit type,UNOX
365,Trickling Filter,POTW unit type,
366,Secondary Clarifier,POTW unit type,
367,Tertiary Filters,POTW unit type,
369,Gravity Sludge Thickener,POTW unit type,
370,DAF Sludge Thickener,POTW unit type,
371,Anaerobic Digester,POTW unit type,
372,Belt Filter Press,POTW unit type,
373,Oil-Water Separator,OSWRO,
374,Organic-Water Separator,OSWRO,
375,Primary Condenser,OSWRO,
376,Process Vent,OSWRO,
378,"Separator, Other than oil-water or organic-water",OSWRO,"Could include API separators, parallel plate interceptor, corrugated plate separators, etc."
379,Batch Digester,PnP unit type,
380,Continuous Digester,PnP unit type,
381,White Liquor Clarifier,PnP unit type,
382,Green Liquor Clarifier,PnP unit type,
383,Fractionation Unit,OSWRO,
390,Other fugitive,Fugitive Areas,
391,Manhole,POTW unit type,
392,Individual Drain System,OSWRO,
400,Storage Tank,Evaporative Sources,
401,Primary Settling Tank,POTW unit type,
402,Secondary Settling Tank,POTW unit type,
403,Fermenter,Nutritional Yeast unit type,
404,Trade Fermenter,Nutritional Yeast unit type,
405,Stock Fermenter,Nutritional Yeast unit type,
406,Pure Culture Fermenter,Nutritional Yeast unit type,
407,Bottoms Receiver Vessel,OSWRO,
408,Liquid Waste Container,OSWRO,
409,Distillate Receiver Vessel,OSWRO,
410,Open Tank or Vat,Evaporative Sources,
411,Log Vat,PCWP unit type,
412,Aeration Basin,POTW unit type,
413,Equalization Basin,POTW unit type,
414,Chlorine Contact Basin,POTW unit type,
415,Sludge Drying Bed,POTW unit type,
416,Sludge Storage Lagoons/Drying Beds,POTW unit type,
417,Aerated Grit Chamber,POTW unit type,
418,Hot Well,OSWRO,
419,Flotation Cell,PnP unit type,Flotation deinking process
420,Dechlorination Basin,POTW unit type,
430,Degreaser,Evaporative Sources,
450,Spray Booth or Coating Line,Evaporative Sources,
451,Miscellaneous Coating Operation,PCWP unit type,Collection of coating units
470,Printing Line,Evaporative Sources,
480,Gasoline Loading Rack or Arm,Evaporative Sources,
490,Other evaporative sources,Evaporative Sources,
492,Settling Pit,OSWRO,
494,Surface Impoundment,OSWRO,"Could include Aeration Pit/Pond, Lagoons, Holding/Storage Ponds, etc."
600,Chemical Reactor,Process Equipment,
610,Oxidation Unit,Process Equipment,
611,Black Liquor Oxidation System,PnP unit type,
620,Distillation Column/Stripper,Process Equipment,
621,Condensate Stripper,PnP unit type,
622,Steam Stripper,OSWRO,
623,Gas Stripper,OSWRO,
640,Mixer or Blender,Process Equipment,
641,Blend Chest,PnP unit type,
680,Cooling Tower,Process Equipment,
681,Cooling Process Equipment,Mineral Wool Fiberglass,
690,Other process equipment,Process Equipment,
691,Reconstituted Wood Product Press,PCWP unit type,
692,Reconstituted Wood Product Board Cooler,PCWP unit type,
693,Hardboard Humidifier,PCWP unit type,
694,Stand Alone Digester,PCWP unit type,
695,Softwood Plywood Press,PCWP unit type,
696,Hardwood Plywood Press,PCWP unit type,
697,Engineered Wood Products Press,PCWP unit type,
698,Agricultural Fiber Board Press,PCWP unit type,
699,Fiber Washer,PCWP unit type,
700,Atmospheric Refiner,PCWP unit type,
701,Sludge Centrifuge,POTW unit type,
702,Effluent Weir,POTW unit type,
703,"Non-TSDF Treatment, Storage, Disposal System",OSWRO,
705,"Pressure Relief Device, not a valve",OSWRO,
706,Pressure Relief Valve,OSWRO,
712,Finish Mill,Portland Cement,
713,Fiber Forming Equipment,Mineral Wool Fiberglass,
714,O2 Delignification,PnP unit type,
715,ClO2 Generator,PnP unit type,
716,Ozone Reactor,PnP unit type,
717,Bleaching and Extraction Tower,PnP unit type,
718,Evaporator,PnP unit type,
719,Smelt Dissolving Tank,PnP unit type,
720,Crusher,BMH Equipment,
721,Primary Crusher,Portland Cement,
722,Secondary Crusher,Portland Cement,
730,Grinder,BMH Equipment,
740,Screen,BMH Equipment,
760,Conveyor,BMH Equipment,
761,Chip Conveyer,PnP unit type,
762,Coal Conveyer,PnP unit type,
770,Transfer Point,BMH Equipment,
780,Silo,BMH Equipment,
785,Open Storage Pile,BMH Equipment,
786,Chip Pile,PnP unit type,
790,Other bulk material equipment,BMH Equipment,
792,Former,PCWP unit type,
793,Sander,PCWP unit type,
794,Saw,PCWP unit type,"Includes log saws, panel saws, unpressed mat cutoff saws, etc."
796,Debarking Drum,PnP unit type,
797,Knotter,PnP unit type,
798,Decker,PnP unit type,
801,Wastewater Treatment Unit,OSWRO,
805,Waste Stabilization Equipment,OSWRO,Includes units for waste fixation and waste solidification processes.
810,Wastewater Handling Equipment,PCWP unit type,
999,Unclassified,Unclassified,
